Name,All-Time Peak
PUBG: BATTLEGROUNDS,3257248
Palworld,2101867
Counter-Strike 2,1818773
Lost Ark,1325305
Dota 2,1295114
Cyberpunk 2077,1054388
ELDEN RING,953426
Banana,917272
New World,913634
Hogwarts Legacy,879308
Baldur's Gate 3,875343
Goose Goose Duck,702845
Apex Legends,624473
Valheim,502387
Call of Duty®,491670
Terraria,489886
Capcom Arcade Stadium,488791
Fallout 4,472962
Life is Strange 2,468717
Capcom Arcade 2nd Stadium,463928
HELLDIVERS™ 2,458709
Among Us,447476
Sons Of The Forest,414257
POSTAL,412063
World of Warships,411338
NARAKA: BLADEPOINT,385770
Grand Theft Auto V,364548
HITMAN™ 2,361001
Kathy Rain,348015
Monster Hunter: World,334684
Starfield,330723
PUBG: Test Server,320178
Counter-Strike,319586
Destiny 2,316750
The Elder Scrolls V: Skyrim,287411
Dying Light 2: Reloaded Edition,274983
Halo Infinite,272586
KHOLAT,272019
THE FINALS PLAYTEST,267874
The First Descendant,264860
Last Epoch,264708
Yu-Gi-Oh! Master Duel,262689
Team Fortress 2,253997
ARK: Survival Evolved,248405
Mount & Blade II: Bannerlord,248216
PAYDAY 2,247709
Rust,245243
Envoy 2,244375
THE FINALS,242619
Lethal Company,240817
Stardew Valley,236614
Once Human,231668
MONSTER HUNTER RISE,231360
Path of Exile,229337
Dragon's Dogma 2,228585
For Honor,225831
Source SDK Base 2007,221857
Braveland,218169
Gene Shift Auto,214143
No Man's Sky,212613
Content Warning,204439
Dota Underlords,202334
Tom Clancy's Rainbow Six Siege,201933
New World Public Test Realm,200856
Total War: THREE KINGDOMS,192298
A Story About My Uncle,190590
Warframe,189837
Football Manager 2020,189464
NARAKA: BLADEPOINT Demo,186589
Source SDK Base 2013 Multiplayer,184888
鬼谷八荒 Tale of Immortal,184171
Hyperdrive Massacre,181308
Manor Lords,173178
Evolvation,172870
Fall Guys,172213
Call of Duty®: Modern Warfare® II - Open Beta,168330
Resident Evil 4,168191
Total War: WARHAMMER III,166754
DISTRAINT: Deluxe Edition,165266
The Tiny Bang Story,164840
Company of Heroes 2,164688
Sid Meier's Civilization VI,162657
Left 4 Dead 2,162399
Halo: The Master Chief Collection,161024
Enshrouded,160405
Battlefield™ 2042 Open Beta,156665
ARMORED CORE™ VI FIRES OF RUBICON™,156171
Orwell,154375
MultiVersus,153433
Z1 Battle Royale,151239
V Rising,150645
Wallpaper Engine,150375
Murderous Pursuits,149224
NARAKA: BLADEPOINT Playtest,148931
BROKE PROTOCOL: Online City RPG,147854
Rocket League,147632
Layers of Fear (2016),145384
New World Open Beta,141668
Crusader Kings II,141439
Fortified,138627
